District,Crime_Type,Year,Cases
Raichur,Fraud,2025,248
Shivamogga,Assault,2023,73
Bidar,Fraud,2025,75
Mangaluru,Robbery,2022,146
Davanagere,Theft,2022,474
Ballari,Kidnapping,2023,139
Mangaluru,Assault,2022,488
Mangaluru,Robbery,2025,109
Ballari,Fraud,2023,34
Kalaburagi,Burglary,2022,87
Mangaluru,Kidnapping,2025,121
Mangaluru,Murder,2022,86
Hubli,Fraud,2023,237
Bengaluru,Theft,2025,187
Raichur,Fraud,2023,417
Tumakuru,Theft,2024,195
Kalaburagi,Assault,2023,265
Davanagere,Kidnapping,2022,308
Ballari,Robbery,2024,307
Raichur,Theft,2023,123
Belagavi,Theft,2024,188
Mangaluru,Burglary,2022,389
Tumakuru,Cyber Crime,2024,318
Mysuru,Assault,2024,205
Ballari,Assault,2022,199
Kalaburagi,Kidnapping,2025,317
Raichur,Cyber Crime,2025,167
Tumakuru,Murder,2024,496
Belagavi,Murder,2023,254
Tumakuru,Robbery,2022,478
Mysuru,Cyber Crime,2022,460
Davanagere,Assault,2022,282
Belagavi,Assault,2025,377
Tumakuru,Robbery,2025,176
Ballari,Kidnapping,2023,426
Tumakuru,Kidnapping,2022,133
Ballari,Burglary,2025,419
Mysuru,Theft,2025,496
Mysuru,Murder,2025,303
Mysuru,Robbery,2024,435
Mangaluru,Theft,2024,438
Bengaluru,Burglary,2024,219
Ballari,Cyber Crime,2025,43
Raichur,Fraud,2024,459
Belagavi,Kidnapping,2025,23
Hubli,Robbery,2023,99
Hubli,Murder,2025,252
Davanagere,Cyber Crime,2022,436
Bidar,Burglary,2025,455
Ballari,Robbery,2022,425
Mysuru,Burglary,2024,381
Shivamogga,Burglary,2023,170
Mangaluru,Murder,2025,293
Shivamogga,Murder,2023,377
Tumakuru,Assault,2024,491
Belagavi,Theft,2023,186
Davanagere,Fraud,2025,441
Mangaluru,Cyber Crime,2025,479
Shivamogga,Fraud,2025,252
Kalaburagi,Fraud,2024,276
Bidar,Theft,2022,76
Shivamogga,Cyber Crime,2022,94
Mangaluru,Robbery,2025,419
Davanagere,Assault,2023,59
Tumakuru,Murder,2024,34
Ballari,Robbery,2023,437
Shivamogga,Fraud,2025,128
Ballari,Cyber Crime,2022,372
Shivamogga,Assault,2025,131
Kalaburagi,Fraud,2023,163
Mangaluru,Assault,2022,465
Mangaluru,Assault,2023,327
Belagavi,Kidnapping,2022,442
Bengaluru,Assault,2025,258
Belagavi,Burglary,2025,433
Mangaluru,Burglary,2025,128
Mangaluru,Murder,2024,371
Shivamogga,Murder,2022,328
Ballari,Assault,2022,20
Bidar,Kidnapping,2022,391
Shivamogga,Fraud,2025,270
Shivamogga,Kidnapping,2023,439
Mangaluru,Robbery,2022,460
Bidar,Assault,2024,64
Bidar,Fraud,2024,341
Raichur,Murder,2024,488
Hubli,Murder,2023,99
Tumakuru,Assault,2022,395
Belagavi,Burglary,2023,455
Mangaluru,Burglary,2022,325
Mysuru,Murder,2025,74
Tumakuru,Fraud,2025,53
Hubli,Murder,2022,428
Tumakuru,Theft,2024,262
Ballari,Assault,2022,63
Bengaluru,Cyber Crime,2023,435
Tumakuru,Assault,2024,439
Davanagere,Murder,2022,396
Belagavi,Cyber Crime,2025,205
Bengaluru,Murder,2024,296
